timestamp,embedding_type,train_samples,test_samples,features,best_cv_score,test_accuracy,training_time_sec,best_C,best_solver,best_max_iter,TP,TN,FP,FN,model,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features
20251217_111616,bert_cased,40000,10000,768,0.779625,0.7836,707.0937912464142,1.0,saga,1000.0,3887,3949,1051,1113,,,,,,
20251217_112920,roberta,40000,10000,768,0.86335,0.8661,501.2548804283142,10.0,liblinear,500.0,4346,4315,685,654,,,,,,
20251217_114650,albert,40000,10000,768,0.83865,0.84,595.9839749336243,0.1,liblinear,500.0,4198,4202,798,802,,,,,,
20251217_150236,bert_uncased,40000,10000,768,0.783075,0.7824,1644.0976259708405,,,,3950,3874,1126,1050,RandomForest,400.0,20.0,2.0,1.0,sqrt
20251217_153913,hatebert,40000,10000,768,0.7801750000000001,0.7837,2135.9304444789886,,,,4107,3730,1270,893,RandomForest,400.0,20.0,5.0,1.0,sqrt
20251217_162015,bert_cased,40000,10000,768,0.715125,0.7167,1622.53475522995,,,,3620,3547,1453,1380,RandomForest,400.0,20.0,5.0,1.0,sqrt
20251217_165201,roberta,40000,10000,768,0.8232250000000001,0.8259,1609.095989704132,,,,4229,4030,970,771,RandomForest,400.0,20.0,5.0,1.0,sqrt
20251217_172342,albert,40000,10000,768,0.791825,0.7909,1608.3199949264526,,,,3954,3955,1045,1046,RandomForest,400.0,20.0,5.0,1.0,sqrt
20251217_193520,sbert,40000,10000,384,0.7812000000000001,0.7821,1134.585895061493,,,,4034,3787,1213,966,RandomForest,400.0,20.0,5.0,1.0,sqrt
20251217_200738,word2vec,40000,10000,100,0.79595,0.7984,579.0549499988556,,,,4030,3954,1046,970,RandomForest,400.0,20,5.0,1.0,sqrt
